city,date,pm2_5,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,AQI,temperature_2m,humidity,wind_speed,precipitation
Thiruvananthapuram,2025-07-11,16.195833333333333,31.791666666666668,47.291666666666664,3.3583333333333334,2.0458333333333334,147.5,47.291666666666664,26.866666666666667,81.04166666666667,18.929166666666667,0.08750000000000001
Thiruvananthapuram,2025-07-12,8.733333333333334,16.1,54.041666666666664,2.5458333333333334,1.425,136.66666666666666,54.041666666666664,26.083333333333332,85.25,19.504166666666666,0.10833333333333334
Thiruvananthapuram,2025-07-13,8.516666666666666,15.274999999999999,57.083333333333336,3.05,1.8083333333333333,131.875,57.083333333333336,26.40416666666667,84.95833333333333,18.395833333333332,0.0625
Thiruvananthapuram,2025-07-14,8.525,17.245833333333334,55.208333333333336,2.5875,1.2833333333333332,124.54166666666667,55.208333333333336,25.5,88.5,18.166666666666668,0.47083333333333327
Thiruvananthapuram,2025-07-15,10.220833333333333,19.954166666666666,54.125,3.5875,1.8916666666666668,132.20833333333334,54.125,26.041666666666668,84.83333333333333,21.691666666666666,0.14583333333333334
Thiruvananthapuram,2025-07-16,7.391666666666667,14.0125,53.083333333333336,2.775,1.35,142.45833333333334,53.083333333333336,24.84166666666667,91.91666666666667,18.09583333333333,0.6541666666666667
Thiruvananthapuram,2025-07-17,9.395833333333334,16.566666666666666,49.833333333333336,3.1166666666666667,1.8083333333333333,152.29166666666666,49.833333333333336,25.225,89.45833333333333,19.620833333333334,0.25
Thiruvananthapuram,2025-07-18,8.5125,15.2,53.166666666666664,2.6666666666666665,1.4375,124.16666666666667,53.166666666666664,25.01666666666667,90.625,20.0625,0.41250000000000003
Thiruvananthapuram,2025-07-19,6.933333333333333,12.095833333333333,52.958333333333336,2.625,0.9291666666666666,128.83333333333334,52.958333333333336,24.0625,95.875,18.754166666666666,1.25
Thiruvananthapuram,2025-07-20,7.266666666666667,13.133333333333333,60.125,2.45,1.0958333333333332,132.29166666666666,60.125,23.704166666666666,96.33333333333333,14.070833333333335,1.4958333333333333
Thiruvananthapuram,2025-07-21,8.004166666666666,13.816666666666666,60.625,2.8291666666666666,1.0708333333333333,150.375,60.625,24.28333333333333,94.58333333333333,14.8,1.45
Thiruvananthapuram,2025-07-22,8.0,14.229166666666666,66.20833333333333,2.1041666666666665,0.8416666666666667,136.58333333333334,66.20833333333333,24.729166666666668,92.04166666666667,13.620833333333334,0.45416666666666666
Thiruvananthapuram,2025-07-23,7.545833333333333,13.758333333333335,66.45833333333333,2.025,0.8208333333333334,123.20833333333333,66.45833333333333,24.375,92.625,17.479166666666668,0.7625000000000001
Thiruvananthapuram,2025-07-24,8.883333333333335,18.17083333333333,59.25,2.7166666666666663,1.1708333333333334,128.375,59.25,24.229166666666668,93.54166666666667,16.78333333333333,1.2875
Thiruvananthapuram,2025-07-25,9.2625,18.7125,56.875,1.9208333333333332,0.9458333333333334,129.33333333333334,56.875,23.24583333333333,97.08333333333333,12.508333333333333,0.21666666666666667
Varanasi,2025-04-25,24.4125,54.84166666666666,112.83333333333333,16.825,11.6875,542.9166666666666,131.4413270187524,34.69166666666666,13.833333333333334,8.4125,0.0
Varanasi,2025-04-26,28.85,69.00833333333333,116.29166666666667,15.825,13.387500000000001,559.7083333333334,135.40545350172215,35.09166666666666,15.291666666666666,8.908333333333333,0.0
